StrikerName,TeamCode,TeamName,Nationality,Matches,Innings,TotalRuns,HighestScore,BattingAverage,StrikeRate,Centuries,FiftyPlusRuns,Fours,Sixes
Sai Sudharsan,GT,Gujarat Titans,Indian,15,15,759,108*,54.21,156.17,1,6,88,21
Surya Kumar Yadav,MI,Mumbai Indians,Indian,16,16,717,73*,65.18,167.91,0,5,69,38
Virat Kohli,RCB,Royal Challengers Bengaluru,Indian,15,15,657,73*,54.75,144.71,0,8,66,19
Shubman Gill,GT,Gujarat Titans,Indian,15,15,650,93*,50.00,155.87,0,6,62,24
Mitchell Marsh,LSG,Lucknow Super Giants,Overseas,13,13,627,117,48.23,163.7,1,6,56,37
Shreyas Iyer,PBKS,Punjab Kings,Indian,17,17,604,97*,50.33,175.07,0,6,43,39
Yashasvi Jaiswal,RR,Rajasthan Royals,Indian,14,14,559,75,43.00,159.71,0,6,60,28
Prabhsimran Singh,PBKS,Punjab Kings,Indian,17,17,549,91,32.29,160.52,0,4,56,30
K L Rahul,DC,Delhi Capitals,Indian,13,13,539,112*,53.90,149.72,1,3,52,21
Jos Buttler,GT,Gujarat Titans,Overseas,14,13,538,97*,59.78,163.03,0,5,52,24
Nicholas Pooran,LSG,Lucknow Super Giants,Overseas,14,14,524,87*,43.67,196.25,0,5,45,40
Heinrich Klaasen,SRH,Sunrisers Hyderabad,Overseas,13,13,487,105*,44.27,172.69,1,1,42,25
Priyansh Arya,PBKS,Punjab Kings,Indian,17,17,475,103,27.94,179.24,1,2,55,25
Aiden Markram,LSG,Lucknow Super Giants,Overseas,13,13,445,66,34.23,148.82,0,5,38,22
Abhishek Sharma,SRH,Sunrisers Hyderabad,Indian,14,13,439,141,33.77,193.39,1,2,46,28
Rohit Sharma,MI,Mumbai Indians,Indian,15,15,418,81,29.86,149.28,0,4,41,22
Phil Salt,RCB,Royal Challengers Bengaluru,Overseas,13,13,403,65,33.58,175.98,0,4,48,22
Riyan Parag,RR,Rajasthan Royals,Indian,14,14,393,95,32.75,166.52,0,1,27,27
Ajinkya Rahane,KKR,Kolkata Knight Riders,Indian,13,12,390,61,35.45,147.72,0,3,36,20
Ryan Rickelton,MI,Mumbai Indians,Overseas,14,14,388,62*,29.85,150.97,0,3,47,17
Travis Head,SRH,Sunrisers Hyderabad,Overseas,13,12,374,76,31.17,162.6,0,3,50,15
Nehal Wadhera,PBKS,Punjab Kings,Indian,16,15,369,70,30.75,145.84,0,2,28,21
Shivam Dube,CSK,Chennai Super Kings,Indian,14,14,357,50,32.45,132.22,0,1,22,21
Ishan Kishan,SRH,Sunrisers Hyderabad,Indian,14,13,354,106*,35.40,152.58,1,1,33,15
Shashank Singh,PBKS,Punjab Kings,Indian,17,14,350,61*,50.00,153.5,0,3,23,18
N Tilak Varma,MI,Mumbai Indians,Indian,16,13,343,59,31.18,138.3,0,2,23,16
Dhruv Jurel,RR,Rajasthan Royals,Indian,14,13,333,70,37.00,156.33,0,2,22,22
Ayush Badoni,LSG,Lucknow Super Giants,Indian,14,11,329,74,32.90,148.19,0,2,27,14
