player_id,matches,innings,wickets,overs,economy,fours_conceded,sixes_conceded,bowling_avg,bowling_strike_rate,four_wickets,five_wickets
P0157,15,15,25,59,8.27,46,23,19.52,14.16,1,0
P0129,14,14,24,50,8.16,31,18,17,12.5,2,0
P0158,12,12,22,44,8.77,39,22,17.54,12,1,0
P0146,16,16,22,57.4,8.96,50,22,23.5,15.72,1,0
P0148,17,16,21,58.2,8.88,64,15,24.66,16.66,0,0
P0135,15,15,19,42.3,9.24,22,25,20.68,13.42,0,0
P0159,12,12,18,47.2,6.67,27,12,17.55,15.77,1,0
P0149,13,13,17,50,7.66,32,16,22.52,17.64,0,0
P0074,15,15,17,46,8.23,23,19,22.29,16.23,1,0
P0113,14,14,17,52,9.28,46,26,28.41,18.35,0,0
P0160,12,12,17,42.3,10.11,45,20,25.29,15,0,0
P0077,14,14,16,49.4,9.06,41,23,28.12,18.62,0,0
P0082,14,14,16,47.1,9.2,41,22,27.12,17.68,0,0
P0142,15,15,16,57,9.24,62,22,32.93,21.37,1,0
P0161,14,13,16,45,9.55,25,26,26.87,16.87,2,0
P0105,13,13,16,43.5,9.8,43,16,26.87,16.43,2,0
P0108,14,13,15,51,7.07,22,13,24.06,20.4,0,0
P0152,14,14,15,46.4,9.57,51,25,29.8,18.66,0,0
P0091,13,13,15,44,10.18,48,24,29.86,17.6,0,0
P0155,13,13,14,52,8.25,39,14,30.64,22.28,0,0
P0049,15,14,14,35,9.77,28,17,24.42,15,0,1
P0132,11,10,14,36,10.16,48,14,26.14,15.42,0,1
P0162,7,7,13,26.4,8.92,25,10,18.3,12.3,0,0
P0139,15,15,13,49,9.59,44,20,36.15,22.61,0,0
P0163,12,12,13,41.5,10.13,25,25,32.61,19.3,0,0
P0104,13,13,13,47.2,10.28,48,21,37.46,21.84,0,0
P0107,10,10,13,34,11.02,38,17,28.84,15.69,1,0
P0043,12,12,12,45,7.8,12,22,29.25,22.5,0,0
P0164,12,12,12,39.3,10.32,38,21,34,19.75,1,0
P0165,7,7,11,23.5,7.34,19,4,15.9,13,0,0
P0124,11,11,11,41,9.04,22,21,33.72,22.36,1,0
P0066,14,13,11,39,9.12,23,21,32.36,21.27,0,0
P0099,14,14,11,41,9.17,42,14,34.18,22.36,0,0
P0088,12,12,11,45.3,9.47,49,18,39.18,24.81,0,0
P0120,11,11,11,42,9.76,39,14,37.27,22.9,0,0
P0166,7,7,11,20.3,11.31,18,15,21.09,11.18,1,0
P0098,13,13,10,39.3,7.92,27,10,31.3,23.7,0,0
P0031,14,14,10,37.5,8.56,23,17,32.4,22.7,0,0
P0116,8,7,10,22,8.63,15,9,19,13.2,0,0
P0097,15,15,9,55,9.34,29,33,57.11,36.66,0,0
P0131,10,10,9,36.3,9.89,28,14,40.11,24.33,0,0
P0127,10,10,9,32,10.62,35,13,37.77,21.33,0,0
P0115,11,11,9,37,10.83,32,25,44.55,24.66,0,0
P0111,8,8,8,21.3,8,17,8,21.5,16.12,0,0
P0167,14,14,8,50,8.84,38,22,55.25,37.5,0,0
P0090,9,8,8,27,10.33,25,12,34.87,20.25,0,0
P0060,13,9,8,18.1,11.94,21,13,27.12,13.62,0,0
P0151,6,5,7,15,8.53,8,7,18.28,12.85,0,0
P0100,9,9,7,31,9.12,18,18,40.42,26.57,0,0
P0137,6,5,6,16,8.5,5,9,22.66,16,0,0
P0047,13,8,6,14,8.57,11,4,20,14,0,0
P0168,5,5,6,12,9.08,4,9,18.16,12,0,0
P0169,10,10,6,33.5,9.84,24,17,55.5,33.83,0,0
P0102,9,9,6,21,10.33,24,10,36.16,21,0,0
P0085,8,7,6,14,10.78,11,11,25.16,14,0,0
P0118,9,9,6,30,11.23,40,17,56.16,30,0,0
P0170,3,3,6,10.2,12.77,16,6,22,10.33,0,0
P0038,12,11,5,34,8.47,23,14,57.6,40.8,0,0
P0138,4,4,5,11.2,9.17,5,7,20.8,13.6,0,0
P0171,4,4,5,15,9.8,14,8,29.4,18,0,0
P0172,3,3,5,10,9.8,4,8,19.6,12,0,0
P0173,3,3,4,11,7.9,6,4,21.75,16.5,0,0
P0094,7,6,4,13,8.46,9,5,27.5,19.5,0,0
P0174,3,3,4,11.1,8.86,15,1,24.75,16.75,0,0
P0014,13,5,4,11,9.27,3,7,25.5,16.5,0,0
P0175,2,2,4,8,10.12,7,4,20.25,12,0,0
P0176,5,5,4,17,10.64,12,9,45.25,25.5,0,0
P0140,4,4,4,15,11.06,17,7,41.5,22.5,0,0
P0177,7,7,4,18.2,11.18,22,10,51.25,27.5,0,0
P0119,6,5,4,15,11.4,12,10,42.75,22.5,0,0
P0178,4,4,4,11,11.9,14,8,32.75,16.5,0,0
P0018,14,9,3,20,8.5,9,7,56.66,40,0,0
P0136,6,6,3,22.5,9.85,21,10,75,45.66,0,0
P0130,6,6,3,19,12.05,28,9,76.33,38,0,0
P0028,14,2,2,1.4,7.8,0,1,6.5,5,0,0
P0073,10,5,2,9,8.44,6,2,38,27,0,0
P0080,5,4,2,7,8.57,4,3,30,21,0,0
P0058,13,3,2,5,9.4,2,3,23.5,15,0,0
P0179,2,2,2,7,9.57,5,4,33.5,21,0,0
P0117,4,4,2,10,9.6,11,5,48,30,0,0
P0143,4,4,2,8,9.75,6,5,39,24,0,0
P0068,6,5,2,10.5,10.24,7,7,55.5,32.5,0,0
P0153,8,8,2,25,10.28,20,11,128.5,75,0,0
P0109,4,4,2,12,10.91,8,9,65.5,36,0,0
P0121,4,4,2,14,11.57,12,11,81,42,0,0
P0180,2,2,2,8,11.75,6,7,47,24,0,0
P0181,2,2,2,8,12.5,6,9,50,24,0,0
P0144,4,4,2,10,14.1,12,13,70.5,30,0,0
P0182,1,1,1,4,6.5,4,0,26,24,0,0
P0183,1,1,1,4,6.75,3,0,27,24,0,0
P0095,2,2,1,7,7.85,4,4,55,42,0,0
P0184,1,1,1,4,9.5,3,1,38,24,0,0
P0185,1,1,1,3,9.66,3,1,29,18,0,0
P0186,1,1,1,2,10,4,0,20,12,0,0
P0125,2,2,1,5,10.8,7,3,54,30,0,0
P0072,5,5,1,12,11.08,11,8,133,72,0,0
P0187,1,1,1,3.3,11.14,7,0,39,21,0,0
P0188,2,2,1,6,11.66,7,5,70,36,0,0
P0147,4,4,1,11.2,11.73,14,8,133,68,0,0
P0189,2,2,1,6,11.83,10,3,71,36,0,0
P0190,2,2,1,7,11.85,13,3,83,42,0,0
P0122,3,3,1,8.3,12,9,5,102,51,0,0
P0191,2,2,1,6.3,12.15,8,4,79,39,0,0
P0062,13,9,1,14.1,12.35,11,13,175,85,0,0
P0059,15,1,1,1,13,1,1,13,6,0,0
P0150,2,2,1,4,13.25,4,3,53,24,0,0
P0192,1,1,1,2,13.5,2,2,27,12,0,0
P0193,1,1,1,2,14,4,1,28,12,0,0
