player_id,name,team_id,country_id
P0001,Sai Sudharsan,T001,C001
P0002,Surya Kumar Yadav,T002,C001
P0003,Virat Kohli,T003,C001
P0004,Shubman Gill,T001,C001
P0005,Mitchell Marsh,T004,C002
P0006,Shreyas Iyer,T005,C001
P0007,Yashasvi Jaiswal,T006,C001
P0008,Prabhsimran Singh,T005,C001
P0009,K L Rahul,T007,C001
P0010,Jos Buttler,T001,C003
P0011,Nicholas Pooran,T004,C002
P0012,Heinrich Klaasen,T008,C004
P0013,Priyansh Arya,T005,C001
P0014,Aiden Markram,T004,C004
P0015,Abhishek Sharma,T008,C001
P0016,Rohit Sharma,T002,C001
P0017,Phil Salt,T003,C003
P0018,Riyan Parag,T006,C001
P0019,Ajinkya Rahane,T009,C001
P0020,Ryan Rickelton,T002,C004
P0021,Travis Head,T008,C002
P0022,Nehal Wadhera,T005,C001
P0023,Shivam Dube,T010,C001
P0024,Ishan Kishan,T008,C001
P0025,Shashank Singh,T005,C001
P0026,N Tilak Varma,T002,C001
P0027,Dhruv Jurel,T006,C001
P0028,Ayush Badoni,T004,C001
P0029,Rajat Patidar,T003,C001
P0030,Abishek Porel,T007,C001
P0031,Ravindra Jadeja,T010,C001
P0032,Tristan Stubbs,T007,C004
P0033,Angkrish Raghuvanshi,T009,C001
P0034,Sherfane Rutherford,T001,C005
P0035,Sanju Samson,T006,C001
P0036,Josh Inglis,T005,C002
P0037,Rishabh Pant,T004,C001
P0038,Axar Patel,T007,C001
P0039,Jitesh Sharma,T003,C001
P0040,Vaibhav Suryavanshi,T006,C001
P0041,Naman Dhir,T002,C001
P0042,Devdutt Padikkal,T003,C001
P0043,Sunil Narine,T009,C005
P0044,Ayush Mhatre,T010,C001
P0045,Shimron Hetmyer,T006,C005
P0046,Aniket Verma,T008,C001
P0047,Will Jacks,T002,C003
P0048,Dewald Brevis,T010,C004
P0049,Hardik Pandya,T002,C001
P0050,Nitish Rana,T006,C001
P0051,Rinku Singh,T009,C001
P0052,Ashutosh Sharma,T007,C001
P0053,Faf Du Plessis,T007,C004
P0054,Karun Nair,T007,C001
P0055,MS Dhoni,T010,C001
P0056,Rachin Ravindra,T010,C006
P0057,Tim David,T003,C002
P0058,Nitish Kumar Reddy,T008,C001
P0059,Shahrukh Khan,T001,C001
P0060,Andre Russell,T009,C005
P0061,Abdul Samad,T004,C001
P0062,Marcus Stoinis,T005,C002
P0063,Devon Conway,T010,C006
P0064,David Miller,T004,C004
P0065,Quinton De Kock,T009,C004
P0066,Vipraj Nigam,T007,C001
P0067,Venkatesh Iyer,T009,C001
P0068,Washington Sundar,T001,C001
P0069,Ruturaj Gaikwad,T010,C001
P0070,Sameer Rizvi,T007,C001
P0071,Vijay Shankar,T010,C001
P0072,Sam Curran,T010,C003
P0073,Liam Livingstone,T003,C003
P0074,Krunal Pandya,T003,C001
P0075,Shubham Dubey,T006,C001
P0076,Rahul Tewatia,T001,C001
P0077,Pat Cummins,T008,C002
P0078,Mayank Agarwal,T003,C001
P0079,Manish Pandey,T009,C001
P0080,Kamindu Mendis,T008,C007
P0081,Jonny Bairstow,T002,C003
P0082,Marco Jansen,T005,C004
P0083,Rahmanullah Gurbaz,T009,C008
P0084,Shaik Rasheed,T010,C001
P0085,Romario Shepherd,T003,C005
P0086,Urvil Patel,T010,C001
P0087,Jacob Bethell,T003,C003
P0088,Jofra Archer,T006,C003
P0089,Abhinav Manohar,T008,C001
P0090,Azmatullah Omarzai,T005,C008
P0091,Harshit Rana,T009,C001
P0092,Jake Fraser - McGurk,T007,C002
P0093,Rahul Tripathi,T010,C001
P0094,Glenn Maxwell,T005,C002
P0095,Corbin Bosch,T002,C004
P0096,Ramandeep Singh,T009,C001
P0097,Rashid Khan,T001,C008
